Geo Point;Geo Shape;gid;num_materiel;type;insee;sens_orientation;orientation;tmjo_tv;tmjo_vl;tmjo_pl;hpm_tv;hps_tv;v85_vl;v85_pl;annee;semaine;orientation_av_2021;cdate;mdate
44.8264219, -0.5321659;"{""coordinates"": [-0.5321659, 44.8264219], ""type"": ""Point""}";210;;COMPTAGE_ROUTIER;33167;;;141;140;1;11;12;26.7;26.7;2015;comptage du 26/01/2015 au 01/02/2015;Sens unique vers la rue des Steamers;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8267569, -0.5335909;"{""coordinates"": [-0.5335909, 44.8267569], ""type"": ""Point""}";212;;COMPTAGE_ROUTIER;33167;;;1649;1586;63;11;160;49.9;47.9;2015;comptage du 26/01/2015 au 01/02/2015;Vers la rue Monte Cristo;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8708969, -0.4964099;"{""coordinates"": [-0.4964099, 44.8708969], ""type"": ""Point""}";665;;COMPTAGE_ROUTIER;33013;;;629;596;33;43;65;49.0;42.0;2016;comptage du 20/05/2016 au 26/05/2016;Vers la rue des Chevreuils;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8397349, -0.506203;"{""coordinates"": [-0.506203, 44.8397349], ""type"": ""Point""}";668;;COMPTAGE_ROUTIER;33167;;;788;775;13;74;43;47.0;44.0;2016;comptage du 11/03/2016 au 17/03/2016;Vers la rue Nelson Paillou;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8397349, -0.506203;"{""coordinates"": [-0.506203, 44.8397349], ""type"": ""Point""}";669;;COMPTAGE_ROUTIER;33167;;;725;712;13;44;78;47.0;44.0;2016;comptage du 11/03/2016 au 17/03/2016;Vers la rue Jean Bouin;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8506879, -0.6793949;"{""coordinates"": [-0.6793949, 44.8506879], ""type"": ""Point""}";670;;COMPTAGE_ROUTIER;33281;;;510;495;15;21;63;54.0;46.0;2016;comptage du 21/06/2016 au 27/06/2016;Vers l'avenue de la Grange Noire;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8607769, -0.5681849;"{""coordinates"": [-0.5681849, 44.8607769], ""type"": ""Point""}";672;;COMPTAGE_ROUTIER;33063;;;9810;9385;425;630;660;45.5;41.0;2016;comptage du 18/06/2016 au 24/06/2016;Vers le cours du Médoc;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8479729, -0.7572149;"{""coordinates"": [-0.7572149, 44.8479729], ""type"": ""Point""}";679;;COMPTAGE_ROUTIER;33273;;;205;176;29;11;16;43.0;35.0;2016;comptage du 13/01/2016 au 19/01/2016;Vers l'allée Daniel Begu;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.9813199, -0.489132;"{""coordinates"": [-0.489132, 44.9813199], ""type"": ""Point""}";680;;COMPTAGE_ROUTIER;33487;;;36;35;1;4;5;54.0;;2016;comptage du 11/02/2016 au 17/02/2016;Vers l'avenue Armand Beraud (RD 10);2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8951919, -0.5012719;"{""coordinates"": [-0.5012719, 44.8951919], ""type"": ""Point""}";682;;COMPTAGE_ROUTIER;33096;;;950;939;11;73;73;25.0;;2016;comptage du 29/02/2016 au 06/03/2016;Vers l'allée de l'entre Deux Mers;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
44.8942829, -0.766652;"{""coordinates"": [-0.766652, 44.8942829], ""type"": ""Point""}";687;;COMPTAGE_ROUTIER;33449;;;5092;4859;233;408;580;60.7;58.2;2016;comptage du 25/04/2016 au 01/05/2016;Vers l'allée Pargaud;2023-12-15T17:00:22+01:00;2024-02-14T15:12:17+01:00
